Year,Group,Cohort,Occupation Number,Weighted Total People in Occ,Avg Occ Income,Education,Wage
2010,3,1,26,1073.5,30940.6,12.9,14.7
2010,3,1,27,2235.0,27077.3,14.5,12.7
2010,3,1,28,12836.0,34279.0,12.9,16.3
2010,3,1,29,64437.0,23990.4,12.6,11.8
2010,3,1,30,45496.0,27909.6,13.6,13.5
2010,3,1,31,18020.0,28249.0,13.6,13.8
2010,3,1,32,6950.0,18505.6,12.1,9.4
2010,3,1,33,6080.0,49939.7,13.4,19.2
2010,3,1,34,29814.0,43683.6,13.9,20.1
2010,3,1,35,47431.0,25437.0,12.9,12.4
2010,3,1,36,97428.0,16663.5,12.3,8.5
2010,3,1,37,34649.5,24806.8,13.1,12.1
2010,3,1,38,42877.0,20178.4,12.2,9.9
2010,3,1,39,31491.5,24256.1,13.2,11.6
2010,3,1,40,570.5,20550.0,12.8,8.1
2010,3,1,41,4035.5,14315.6,10.7,6.7
2010,3,1,42,19198.0,15770.3,11.7,7.7
2010,3,1,43,503.0,12193.3,11.9,5.5
2010,3,1,44,28986.0,34123.2,12.6,15.3
2010,3,1,45,21537.0,33994.7,13.3,15.9
2010,3,1,46,11483.0,29689.9,12.6,13.7
2010,3,1,47,69905.0,24799.8,12.1,11.7
2010,3,1,48,2062.0,37813.3,12.6,14.8
2010,3,1,49,7451.0,40254.2,12.8,17.5
2010,3,1,50,3823.0,29972.7,12.7,14.0
2010,3,1,51,423.0,22142.0,11.3,11.0
2010,3,1,52,354.0,30076.2,12.1,14.0
2010,3,1,53,6051.0,30670.6,13.3,14.9
2010,3,1,54,8987.0,19479.3,12.2,9.6
2010,3,1,55,3495.0,44969.2,13.5,20.4
2010,3,1,56,2753.5,23284.6,12.4,10.3
2010,3,1,57,1624.0,25441.3,12.3,11.3
2010,3,1,58,6149.0,24477.6,12.4,11.1
2010,3,1,59,2283.5,22611.2,12.7,10.8
2010,3,1,60,6191.5,19646.8,12.3,9.7
2010,3,1,61,38215.5,26145.4,12.2,12.1
2010,3,1,62,30623.5,26406.6,12.3,12.1
2010,3,1,63,8942.5,28737.1,13.0,13.5
2010,3,1,64,113443.5,28728.4,12.4,12.9
2010,3,1,65,8607.0,31835.4,12.3,13.8
2010,3,1,66,86797.5,21023.8,12.2,10.2
2010,4,1,0,686404.0,,12.4,
2010,4,1,1,101069.5,41722.4,15.1,19.2
2010,4,1,2,98553.5,39665.5,15.2,18.9
2010,4,1,3,214.0,115154.2,16.8,36.2
2010,4,1,4,4553.5,64483.6,17.0,30.0
2010,4,1,5,19698.0,43399.2,15.2,20.7
2010,4,1,6,5229.5,44124.9,17.4,21.2
2010,4,1,7,6483.0,67022.2,18.6,27.7
2010,4,1,8,57028.0,49082.1,15.4,24.5
2010,4,1,9,13703.0,43654.8,16.5,21.4
2010,4,1,10,9817.0,30194.5,17.4,14.9
2010,4,1,11,138492.5,28123.4,15.7,13.6
2010,4,1,12,1041.5,34727.2,16.7,17.8
2010,4,1,13,5278.0,44348.5,16.8,20.8
2010,4,1,14,40464.5,31398.2,15.8,15.5
2010,4,1,15,7449.0,72904.5,18.3,30.7
2010,4,1,16,13072.5,36919.3,15.5,18.0
2010,4,1,17,52837.0,33144.7,13.4,16.7
2010,4,1,18,3381.5,37791.6,14.7,18.0
2010,4,1,19,1796.5,37968.0,14.3,17.2
2010,4,1,20,15933.5,44007.4,15.4,21.3
2010,4,1,21,189202.5,21095.5,13.0,10.7
2010,4,1,22,58905.5,27821.0,13.9,13.8
2010,4,1,23,43187.0,22749.1,13.3,11.4
2010,4,1,24,15172.0,26185.4,13.8,13.0
2010,4,1,25,32241.5,28522.7,13.5,14.0
2010,4,1,26,1377.0,22110.9,13.0,11.2
2010,4,1,27,4150.5,24117.6,13.3,12.1
2010,4,1,28,7440.5,30933.3,13.1,14.5
2010,4,1,29,37198.5,24176.9,13.0,12.0
2010,4,1,30,116634.0,25872.2,13.6,12.8
2010,4,1,31,61104.0,25326.8,13.7,12.6
2010,4,1,32,29158.0,13729.9,11.6,7.2
2010,4,1,33,147.0,43074.5,12.6,15.9
2010,4,1,34,21294.5,38415.9,14.3,18.0
2010,4,1,35,23515.0,23481.2,13.0,11.7
2010,4,1,36,85108.0,15056.7,12.4,8.1
2010,4,1,37,211577.0,19276.2,12.6,9.9
2010,4,1,38,16248.0,16144.2,11.9,8.2
2010,4,1,39,82045.5,19484.7,13.3,9.8
2010,4,1,40,277.0,19496.9,9.0,8.0
2010,4,1,41,557.0,19770.8,10.0,9.4
2010,4,1,42,2114.5,16620.9,12.3,8.2
2010,4,1,43,NaN,NaN,NaN,NaN
2010,4,1,44,1937.0,32892.2,13.6,15.3
2010,4,1,45,1953.5,31331.0,13.4,14.5
2010,4,1,46,1123.0,25865.3,13.1,12.8
2010,4,1,47,2912.5,28791.7,12.4,13.4
2010,4,1,48,198.0,27554.0,13.2,13.5
2010,4,1,49,2756.0,28489.2,13.2,12.9
2010,4,1,50,443.5,20677.7,12.8,10.4
2010,4,1,51,90.5,14727.2,12.8,7.2
2010,4,1,52,75.0,26381.2,13.3,12.8
2010,4,1,53,18886.0,28364.5,13.4,14.5
2010,4,1,54,6166.5,19309.7,12.0,9.5
2010,4,1,55,185.0,46283.4,15.0,22.4
2010,4,1,56,592.0,12967.0,12.5,6.4
2010,4,1,57,292.0,12039.6,12.7,5.9
2010,4,1,58,1841.5,32992.6,12.0,15.7
2010,4,1,59,1383.0,22880.8,12.8,11.1
2010,4,1,60,4512.5,15730.8,11.3,8.1
2010,4,1,61,17484.0,20814.8,12.1,10.1
2010,4,1,62,13734.0,20614.3,12.5,10.1
2010,4,1,63,6898.5,18461.0,12.7,9.1
2010,4,1,64,22144.0,20982.9,12.5,10.4
2010,4,1,65,657.0,34916.8,12.9,16.6
2010,4,1,66,19913.0,18746.7,12.2,9.5
2010,10,2,0,7411946.0,,12.8,
2010,10,2,1,2897604.0,85176.1,15.2,
2010,10,2,2,1461921.0,72233.7,15.3,
2010,10,2,3,31937.0,75516.7,16.9,
2010,10,2,4,308949.0,86653.1,16.2,
2010,10,2,5,503629.0,72407.3,15.1,
2010,10,2,6,110698.0,77686.4,17.8,
2010,10,2,7,232473.0,185862.9,18.9,
2010,10,2,8,607614.0,64945.3,15.6,
2010,10,2,9,199674.0,61865.3,16.8,
2010,10,2,10,202942.0,56977.0,18.3,
2010,10,2,11,1524292.0,36817.3,16.7,
2010,10,2,12,33729.5,44420.8,17.7,
2010,10,2,13,110948.5,81857.0,17.2,
2010,10,2,14,297311.0,42372.9,16.2,
2010,10,2,15,232502.0,148793.6,18.9,
2010,10,2,16,410136.0,57081.8,15.3,
2010,10,2,17,391223.0,45689.9,13.8,
2010,10,2,18,148260.5,51744.0,13.7,
2010,10,2,19,24742.5,53453.2,13.8,
2010,10,2,20,446603.5,79092.9,15.3,
2010,10,2,21,2398333.0,59529.2,13.8,
2010,10,2,22,607093.5,33669.7,13.4,
2010,10,2,23,228048.5,29322.8,13.2,
2010,10,2,24,109094.0,33027.3,13.4,
2010,10,2,25,350458.5,36339.1,13.2,
2010,10,2,26,16293.0,38752.4,12.9,
2010,10,2,27,34990.0,40112.7,13.5,
2010,10,2,28,134301.0,44830.7,12.9,
2010,10,2,29,478209.5,35431.9,12.8,
2010,10,2,30,575171.0,39059.9,13.6,
2010,10,2,31,408870.5,34939.3,13.5,
2010,10,2,32,209712.0,17124.8,11.1,
2010,10,2,33,101369.5,69798.1,13.8,
2010,10,2,34,447058.5,63172.5,14.0,
2010,10,2,35,171111.0,37154.3,13.1,
2010,10,2,36,811299.0,21163.2,12.0,
2010,10,2,37,690123.5,25685.4,12.7,
2010,10,2,38,387070.5,27902.4,11.8,
2010,10,2,39,555976.0,28124.3,13.2,
2010,10,2,40,86947.5,53975.6,12.9,
2010,10,2,41,120412.5,20791.7,9.8,
2010,10,2,42,274213.0,26151.4,11.3,
2010,10,2,43,36533.5,33623.6,11.7,
2010,10,2,44,488716.5,44246.8,12.3,
2010,10,2,45,231857.0,47314.8,12.9,
2010,10,2,46,181067.0,42962.1,12.5,
2010,10,2,47,1348934.0,35686.3,11.8,
2010,10,2,48,35746.5,52026.6,11.9,
2010,10,2,49,197394.0,54199.7,12.9,
2010,10,2,50,85892.5,41781.1,12.4,
2010,10,2,51,12347.5,31571.1,12.0,
2010,10,2,52,14570.5,26458.1,11.8,
2010,10,2,53,115997.0,34457.7,13.2,
2010,10,2,54,85343.0,27243.8,11.4,
2010,10,2,55,52217.0,58650.4,12.8,
2010,10,2,56,32835.5,30491.9,11.9,
2010,10,2,57,12635.0,31595.7,12.1,
2010,10,2,58,84732.0,32142.8,11.8,
